Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
GLT1D1	FLJ31978	ENSG00000151948	"Glycosyltransferase 1 domain containing 1"	Q96MS3	12	128853427-128984968	"Predicted intracellular proteins, Predicted secreted proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 27.7;choroid plexus: 20.6;liver: 26.9"	"Cell type enhanced"	"Detected in some"		"Cone photoreceptor cells: 15.3;dendritic cells: 29.7;Excitatory neurons: 36.3;Inhibitory neurons: 28.9;Late spermatids: 39.7;Oligodendrocyte precursor cells: 32.5"	"Low cell type specificity"	"Detected in all"			"Group enriched"	"Detected in some"	6	"Liver Hepatocellular Carcinoma (TCGA): 9.1;Testicular Germ Cell Tumor (TCGA): 4.5;Thyroid Carcinoma (TCGA): 7.4"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	6	"neutrophil: 36.5"	"Lineage enriched"	"Detected in many"	6	"granulocytes: 36.5"	"Cancer enhanced"	"Detected in some"		"Leukemia: 3.3"	"Adipose visceral - Neutrophils, Colon - Colon enteroendocrine cells, Lung - Neutrophil_2, Spleen - Neutrophils, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039051, HPA039052"			Enhanced	Cytosol	"Secreted to blood"	Enzyme	NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 74: Neutrophils - Degranulation"		Cytosol		"HPA039051: AB_10673299, HPA039052: AB_10672839"			"unprognostic (2.04e-3)"				"unprognostic (7.87e-3)"	"unprognostic (2.33e-1)"						"unprognostic (1.47e-1)"	"unprognostic (5.36e-2)"			"unprognostic (4.59e-2)"	"unprognostic (5.32e-2)"										"unprognostic (2.33e-1)"	"unprognostic (2.01e-3)"	
GNG10		ENSG00000242616	"G protein subunit gamma 10"	P50151	9	111661605-111670226	"Predicted intracellular proteins, RAS pathway related proteins"		Transducer		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 63.6;Gastric mucus-secreting cells: 43.0;Macrophages: 33.4;Mesothelial cells: 18.6;Squamous epithelial cells: 42.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	6	"neutrophil: 515.3"	"Lineage enriched"	"Detected in all"	9	"granulocytes: 515.3"	"Low cancer specificity"	"Detected in all"			"Spleen - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 21: Non-specific - Metabolism"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 49: Non-specific - Transcription"	35				"unprognostic (5.94e-2)"	"unprognostic (2.20e-1)"	"unprognostic (1.26e-1)"	"unprognostic (2.23e-3)"	"unprognostic (2.15e-2)"	"unprognostic (1.56e-1)"	"unprognostic (2.69e-2)"	"unprognostic (7.01e-2)"	"potential prognostic unfavorable (1.32e-5)"	"unprognostic (1.21e-1)"	"potential prognostic favorable (2.60e-4)"	"unprognostic (9.03e-2)"	"unprognostic (1.04e-3)"	"unprognostic (1.42e-1)"	"unprognostic (7.34e-3)"	"unprognostic (2.72e-2)"	"unprognostic (1.61e-2)"	"unprognostic (5.58e-2)"	"unprognostic (6.83e-2)"	"unprognostic (3.74e-2)"	"unprognostic (4.82e-2)"	"unprognostic (2.18e-1)"	"unprognostic (4.02e-2)"	"unprognostic (2.62e-1)"	"unprognostic (7.05e-2)"	"unprognostic (9.37e-2)"	"unprognostic (1.58e-1)"	"unprognostic (7.48e-2)"	"unprognostic (1.39e-1)"	"unprognostic (6.47e-2)"	"unprognostic (5.89e-2)"
GPX3		ENSG00000211445	"Glutathione peroxidase 3"	P22352	5	151020591-151028988	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Oxidoreductase, Peroxidase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"kidney: 10840.5"	"Group enriched"	"Detected in many"	5	"Muller glia cells: 4288.3;Proximal tubular cells: 16878.3"	"Group enriched"	"Detected in many"	4	"choroid plexus epithelial cell: 226.3;vascular associated smooth muscle cell: 58.7"	"Cancer enhanced"	"Detected in all"		"Kidney Renal Clear Cell Carcinoma (TCGA): 2366.6;Thyroid Carcinoma (TCGA): 2628.6"	"Group enriched"	"Detected in all"	4	"choroid plexus: 1127.5;medulla oblongata: 588.7"	"Immune cell enriched"	"Detected in some"	5	"neutrophil: 20.8"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 20.8"	"Cancer enhanced"	"Detected in all"		"ovarian cancer: 198.7;thyroid cancer: 178.6"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adrenal gland - Fibroblasts, Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Spleen - Fibroblast_2"	"Region enhanced"	"Detected in all"		"hypothalamus: 239.6"	"Low region specificity"	"Detected in all"			CAB069456	Approved				"Secreted to blood"	Enzyme	NA	NA	5090000000	4200000000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 44: Non-specific - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	3			"CAB069456: AB_1616682"	"unprognostic (1.54e-1)"	"unprognostic (1.40e-1)"	"unprognostic (1.51e-3)"	"unprognostic (2.70e-3)"	"unprognostic (4.45e-2)"	"unprognostic (4.92e-2)"	"unprognostic (8.94e-3)"	"unprognostic (3.35e-1)"	"unprognostic (9.25e-2)"	"unprognostic (3.33e-1)"	"potential prognostic favorable (1.79e-4)"	"unprognostic (5.93e-2)"	"unprognostic (1.22e-1)"	"unprognostic (2.35e-2)"	"unprognostic (3.67e-2)"	"unprognostic (4.50e-3)"	"unprognostic (7.62e-3)"	"unprognostic (1.31e-3)"	"unprognostic (5.71e-3)"	"unprognostic (1.06e-2)"	"unprognostic (4.04e-2)"	"unprognostic (7.95e-3)"	"unprognostic (2.49e-1)"	"unprognostic (4.20e-2)"	"unprognostic (8.33e-3)"	"unprognostic (1.91e-2)"	"unprognostic (1.11e-2)"	"potential prognostic unfavorable (8.37e-4)"	"unprognostic (8.19e-2)"	"unprognostic (4.06e-2)"	"unprognostic (1.30e-2)"
H2AC19	"H2A/r, HIST2H2AA4"	ENSG00000288859	"H2A clustered histone 19"	Q6FI13	1	149851061-149851594	"Predicted intracellular proteins"		DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 118.7;choroid plexus: 196.0"													"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	5	"neutrophil: 1926.5"	"Lineage enriched"	"Detected in all"	9	"granulocytes: 1926.5"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA041189	Supported		Supported	Nucleoplasm			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"		"Cluster 55: Non-specific - Transcription"	"Cluster 41: Non-specific - Nucleosome assembly"		3	Nucleoplasm		"HPA041189: AB_2677357"																															
H2BC11	"H2B/r, H2BFR, HIST1H2BJ"	ENSG00000124635	"H2B clustered histone 11"	P06899	6	27125897-27132795	"Predicted intracellular proteins"		"Antibiotic, Antimicrobial, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"testis: 31.0"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 67.4;Late spermatids: 45.3;Plasma cells: 84.2;Spermatocytes: 37.5"	"Group enriched"	"Detected in some"	6	"central nervous system macrophage: 17.7;endothelial cell: 8.1;leukocyte: 9.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	5	"neutrophil: 16.3"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 16.3"	"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA042205, HPA043013, HPA048671"	Supported		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 21: Testis - Unknown function"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 41: Non-specific - Nucleosome assembly"	"Cluster 57: Platelets - Hemostasis"	48	Nucleoplasm	Cytosol	"HPA042205: AB_2677900, HPA043013: AB_2678269, HPA048671: AB_2680488"	"unprognostic (1.72e-2)"	"unprognostic (6.41e-2)"		"potential prognostic favorable (1.85e-4)"	"unprognostic (1.58e-1)"	"unprognostic (1.52e-1)"	"unprognostic (6.06e-3)"	"unprognostic (2.78e-1)"	"unprognostic (2.34e-2)"	"potential prognostic unfavorable (3.97e-4)"	"unprognostic (1.72e-2)"	"unprognostic (3.14e-2)"	"potential prognostic unfavorable (2.69e-4)"	"unprognostic (2.25e-1)"		"unprognostic (2.24e-2)"	"unprognostic (2.15e-3)"	"unprognostic (1.11e-1)"	"unprognostic (2.76e-2)"	"unprognostic (8.20e-2)"	"unprognostic (4.08e-1)"	"unprognostic (3.57e-3)"	"unprognostic (3.15e-1)"	"unprognostic (2.61e-1)"	"unprognostic (3.39e-2)"	"unprognostic (1.84e-2)"	"unprognostic (3.20e-1)"	"unprognostic (5.50e-2)"	"unprognostic (5.62e-2)"	"unprognostic (2.47e-2)"	"unprognostic (1.01e-1)"
H2BC18	HIST2H2BF	ENSG00000203814	"H2B clustered histone 18"	Q5QNW6	1	149782689-149812373	"Predicted intracellular proteins"		DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 14.6;Gastric mucus-secreting cells: 18.3;Microglial cells: 19.7;Plasma cells: 15.6"	"Cell type enriched"	"Detected in many"	4	"central nervous system macrophage: 91.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	8	"neutrophil: 45.4"	"Lineage enriched"	"Detected in all"	8	"granulocytes: 45.4"	"Low cancer specificity"	"Detected in many"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB007814, HPA042205, HPA043013, HPA048671"	Supported		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 25: Non-specific - Transcription"	"Cluster 41: Non-specific - Nucleosome assembly"	"Cluster 61: Plasma cells - Immunoglobulins & histones"	14	Nucleoplasm	Cytosol	"CAB007814: AB_598159, HPA042205: AB_2677900, HPA043013: AB_2678269, HPA048671: AB_2680488"	"unprognostic (1.62e-2)"	"unprognostic (4.95e-2)"		"potential prognostic favorable (9.88e-4)"	"unprognostic (3.92e-3)"	"unprognostic (3.77e-3)"	"unprognostic (1.06e-1)"	"unprognostic (3.68e-2)"	"unprognostic (1.68e-1)"	"unprognostic (8.32e-2)"	"validated prognostic unfavorable (8.16e-4)"	"validated prognostic unfavorable (4.97e-4)"				"unprognostic (8.68e-2)"	"potential prognostic unfavorable (9.72e-5)"	"unprognostic (2.65e-2)"	"unprognostic (2.02e-1)"	"unprognostic (7.34e-3)"	"unprognostic (8.89e-2)"	"potential prognostic unfavorable (1.07e-4)"	"unprognostic (1.51e-1)"	"unprognostic (7.81e-2)"	"unprognostic (1.92e-2)"	"unprognostic (4.01e-3)"		"unprognostic (4.19e-2)"	"unprognostic (4.75e-2)"	"unprognostic (1.67e-2)"	"unprognostic (1.31e-1)"
H2BC4	"H2B.1, H2B/l, H2BFL, HIST1H2BC"	ENSG00000180596	"H2B clustered histone 4"	P62807	6	26114873-26123926	"Plasma proteins, Predicted intracellular proteins"		"Antibiotic, Antimicrobial, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 56.9;Oocytes: 76.5;Plasma cells: 92.2;Syncytiotrophoblasts: 65.3"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 19.6;oligodendrocyte: 16.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	18	"neutrophil: 1084.4"	"Lineage enriched"	"Detected in all"	25	"granulocytes: 1084.4"	"Low cancer specificity"	"Detected in all"			"Skin - Outer root sheath cells"	"Low region specificity"	"Detected in all"							"HPA042205, HPA043013, HPA048671"	Supported		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 56: Non-specific - Unknown function"	"Cluster 7: Non-specific - Ribosome"	"Cluster 41: Non-specific - Nucleosome assembly"	"Cluster 23: Plasma cells - Humoral immune response"	24	Nucleoplasm	Cytosol	"HPA042205: AB_2677900, HPA043013: AB_2678269, HPA048671: AB_2680488"	"unprognostic (1.60e-1)"	"unprognostic (9.82e-3)"		"unprognostic (7.96e-3)"	"unprognostic (7.37e-3)"	"unprognostic (1.22e-2)"	"unprognostic (3.74e-2)"	"unprognostic (2.40e-1)"	"unprognostic (1.13e-1)"	"unprognostic (3.19e-2)"	"unprognostic (9.82e-2)"	"unprognostic (7.85e-2)"	"potential prognostic unfavorable (5.56e-4)"	"unprognostic (4.06e-1)"		"potential prognostic unfavorable (2.12e-4)"	"unprognostic (2.10e-3)"	"unprognostic (2.29e-2)"	"unprognostic (2.03e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.26e-3)"	"unprognostic (1.92e-1)"	"unprognostic (3.89e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.54e-1)"	"unprognostic (1.08e-1)"	"unprognostic (5.40e-2)"	"unprognostic (1.56e-1)"	"unprognostic (2.08e-1)"	"unprognostic (3.18e-1)"
H3-7	"H3-2, H3.7, HIST2H3PS2, p06"	ENSG00000273213	"H3.7 histone (putative)"	Q5TEC6	1	143894544-143905977	"Predicted intracellular proteins"		DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in some"		"Gastric mucus-secreting cells: 11.2;Prostatic glandular cells: 5.5"	"Cell type enriched"	"Detected in single"	4	"central nervous system macrophage: 3.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	6	"neutrophil: 9.8"	"Lineage enriched"	"Detected in many"	6	"granulocytes: 9.8"	"Low cancer specificity"	"Detected in many"												"HPA042570, HPA050968, HPA064058"	Approved		Approved	"Nucleoplasm,Acrosome,Principal piece"			NA	NA			"Cluster 35: Neutrophils - Protein binding"		"Cluster 25: Non-specific - Transcription"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 46: Gastric mucus-secreting cells - Digestion"	29	Nucleoplasm	"Acrosome, Principal piece"	"HPA042570: AB_2678056, HPA050968: , HPA064058: "	"unprognostic (1.01e-1)"	"unprognostic (5.77e-2)"				"unprognostic (6.87e-2)"	"unprognostic (2.39e-1)"	"unprognostic (1.78e-1)"		"unprognostic (1.30e-2)"	"unprognostic (5.05e-2)"	"unprognostic (7.97e-2)"	"unprognostic (4.45e-1)"			"unprognostic (1.00e-2)"	"unprognostic (1.45e-2)"	"unprognostic (6.21e-3)"	"unprognostic (1.93e-1)"	"unprognostic (1.93e-2)"		"unprognostic (5.72e-2)"		"unprognostic (1.78e-1)"		"unprognostic (1.48e-1)"	"unprognostic (3.33e-1)"	"unprognostic (1.27e-1)"	"unprognostic (1.78e-1)"	"unprognostic (3.87e-2)"	
HCAR2	"GPR109A, HCA2, HM74A, NIACR1, Puma-g, PUMAG"	ENSG00000182782	"Hydroxycarboxylic acid receptor 2"	Q8TDS4	12	122701293-122703357	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"	Apoptosis	"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 39.7;skin 1: 29.3"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 55.7;Basal prostatic cells: 154.4;Basal respiratory cells: 46.7;Basal squamous epithelial cells: 98.6;Langerhans cells: 141.4;Suprabasal keratinocytes: 65.7"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Head and Neck Squamous Cell Carcinoma (TCGA): 37.6"	"Region enriched"	"Detected in some"	5	"cerebral cortex: 12.1"	"Immune cell enriched"	"Detected in many"	5	"neutrophil: 177.3"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 177.3"	"Cancer enhanced"	"Detected in some"		"Bladder cancer: 21.1;Esophageal cancer: 21.1;head and neck cancer: 40.0"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Lung - NK-cells (Lung), Skin - Keratinocyte (other), Testis - Late spermatids"									HPA028660	Approved		Supported	"Cell Junctions"			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 12: Non-specific - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 74: Neutrophils - Degranulation"		"Cell Junctions"		"HPA028660: AB_10602139"	"unprognostic (1.47e-2)"	"unprognostic (3.36e-2)"		"unprognostic (6.83e-2)"	"unprognostic (2.60e-1)"	"unprognostic (3.55e-3)"		"unprognostic (6.03e-2)"	"unprognostic (2.11e-1)"	"unprognostic (3.73e-2)"	"unprognostic (1.91e-3)"	"unprognostic (6.78e-2)"			"unprognostic (2.23e-1)"	"unprognostic (1.61e-2)"	"unprognostic (3.02e-1)"	"unprognostic (3.80e-1)"	"unprognostic (7.52e-2)"			"unprognostic (4.97e-2)"	"unprognostic (5.14e-3)"	"unprognostic (1.36e-1)"	"unprognostic (1.52e-1)"	"unprognostic (7.29e-2)"	"unprognostic (2.25e-1)"	"unprognostic (5.47e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.19e-1)"	
HDAC7	"DKFZP586J0917, HDAC7A"	ENSG00000061273	"Histone deacetylase 7"	Q8WUI4	12	47782722-47833132	"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Chromatin regulator, Hydrolase, Repressor"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Cell type enhanced"	"Detected in all"		"endothelial cell: 137.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	4	"neutrophil: 6.5"	"Lineage enriched"	"Detected in many"	4	"granulocytes: 6.5"	"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Minor Salivary Gland - Minor salivary glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA004775			Approved	Cytosol			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	39	Cytosol		"HPA004775: AB_1850548"	"unprognostic (2.18e-3)"	"unprognostic (1.27e-1)"	"unprognostic (8.90e-2)"	"unprognostic (1.09e-3)"	"unprognostic (9.24e-2)"	"unprognostic (9.69e-2)"	"unprognostic (1.86e-2)"	"unprognostic (5.19e-3)"	"unprognostic (3.18e-2)"	"unprognostic (7.12e-2)"	"potential prognostic favorable (8.09e-4)"	"unprognostic (2.53e-2)"	"unprognostic (4.67e-1)"	"unprognostic (9.36e-3)"	"unprognostic (1.33e-3)"	"unprognostic (3.34e-1)"	"potential prognostic unfavorable (9.03e-4)"	"unprognostic (1.80e-2)"	"unprognostic (9.15e-2)"	"unprognostic (4.11e-2)"	"unprognostic (3.89e-2)"	"unprognostic (1.41e-2)"	"unprognostic (2.49e-3)"	"unprognostic (1.60e-1)"	"unprognostic (1.64e-1)"	"unprognostic (1.58e-2)"	"unprognostic (1.96e-1)"	"unprognostic (1.30e-1)"	"unprognostic (1.88e-1)"	"unprognostic (4.97e-2)"	"unprognostic (2.82e-1)"
HEY1	"bHLHb31, CHF-2, CHF2, HERP2, HESR-1, HESR1, HRT-1"	ENSG00000164683	"Hes related family bHLH transcription factor with YRPW motif 1"	Q9Y5J3	8	79762371-79767857	"Cancer-related genes, Predicted intracellular proteins, Transcription factors, Transporters"	"Notch signaling pathway, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 50.0"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 100.2;Extravillous trophoblasts: 130.8;granulocytes: 94.4"	"Cell type enhanced"	"Detected in many"		"endothelial cell: 60.2;fibroblast: 61.6"	"Cancer enhanced"	"Detected in all"		"Glioblastoma Multiforme (TCGA): 97.4"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	5	"neutrophil: 6.9"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 6.9"	"Cancer enhanced"	"Detected in many"		"skin cancer: 35.0"	"Adipose visceral - Endothelial cells, Breast - Endothelial cells, Skin - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA055599, HPA063472"	Uncertain		Approved	"Nucleoplasm,Nuclear membrane,Cytosol"			NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 34: Non-specific - Mixed function"	"Cluster 1: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	20	Nucleoplasm	"Nuclear membrane, Cytosol"	"HPA055599: AB_2682858, HPA063472: AB_2685018"	"unprognostic (2.10e-3)"	"unprognostic (1.77e-1)"	"unprognostic (2.56e-1)"	"unprognostic (5.08e-2)"	"unprognostic (6.44e-3)"	"unprognostic (3.62e-2)"	"validated prognostic favorable (9.45e-4)"	"validated prognostic favorable (3.37e-4)"	"unprognostic (7.46e-2)"	"unprognostic (9.92e-2)"	"validated prognostic favorable (1.86e-5)"	"validated prognostic favorable (4.57e-4)"	"unprognostic (5.85e-3)"	"unprognostic (1.58e-2)"	"unprognostic (6.32e-2)"	"unprognostic (1.17e-1)"	"unprognostic (1.82e-1)"	"unprognostic (1.97e-2)"	"unprognostic (1.74e-1)"	"unprognostic (2.89e-1)"	"unprognostic (1.34e-2)"	"unprognostic (2.27e-3)"	"unprognostic (1.22e-2)"	"unprognostic (2.27e-3)"	"unprognostic (2.26e-2)"	"unprognostic (4.51e-2)"	"unprognostic (5.56e-2)"	"unprognostic (1.67e-2)"	"unprognostic (3.21e-1)"	"unprognostic (2.59e-2)"	"unprognostic (2.68e-1)"
